"ref" "Longitude" "Latitude" "Depth" "Station" "d53Cr" "Cr (ng/kg)" "Salinity" "O2 (ml/L)" "Cr [nmol_kg]" "Cruise" "Cast" "Sample ID" "neutral_density" "Potential Temperature" "NO3 + NO2" "Cr [ng_kg]" "NO3" "2 SEM" "Cr(III)" "Cr(III) error" "%Cr(III)" "%Cr(III) error" "Cr(VI) + CR(III)NR" "Cr(VI) + CR(III)NR error" "Event" "Elevation [m]" "TPM [mg/l] (Filtration)" "Mn2+ [µg/l] (total dissolved, Atomic absor...)" "Mn2+ [µg/l] (dissolved, Atomic absorption ...)" "Mn part [ng/l] (Atomic absorption spectrometr...)" "Fe [µg/l] (dissolved, Atomic absorption ...)" "Fe [µg/l] (particulate, Atomic absorptio...)" "Cr [µg/l] (dissolved, Atomic absorption ...)" "Cr [µg/l] (particulate, Atomic absorptio...)" "Cu [µg/l] (dissolved, Atomic absorption ...)" "Cu [µg/l] (particulate, Atomic absorptio...)" "Ni [µg/l] (dissolved, Atomic absorption ...)" "Ni [µg/l] (particulate, Atomic absorptio...)" "Co [µg/l] (dissolved, Atomic absorption ...)" "Co [µg/l] (particulate, Atomic absorptio...)" "Cd [µg/l] (dissolved, Atomic absorption ...)" "Cd [µg/l] (particulate, Atomic absorptio...)" "CrTOT (nM)" "dCrTOT53 (‰)" "2 s.d. (‰)" "O2" "error53Cr" "PO4" "Si(OH)4" "Water Mass" "date_time [UTC]" "trace_metal_rosette_cast_number" "ace_event_number" "ace_sample_number" "internal_error [‰]"
"Scheiderich2015" 137.333333333333 74.6333333333333 600 "L2" 1.12 146 34.84 6.7 5.41101475057446 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Scheiderich2015" 137.333333333333 74.6333333333333 2000 "L2" 1.06 140 34.93 6.57 5.18864428137277 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Scheiderich2015" 137.333333333333 74.6333333333333 2500 "L2" 1.07 157 34.94 6.45 5.81869394411089 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Scheiderich2015" 1.34216666666667 50.7791666666667 0 "Southampton water" 1.51 97 NA NA 3.59498925209399 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Scheiderich2015" 1.34216666666667 50.7791666666667 3 "Southampton water" 1.5 96 NA NA 3.55792750722704 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Scheiderich2015" 1.34216666666667 50.7791666666667 5 "Southampton water" 1.51 95 NA NA 3.52086576236009 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Scheiderich2015" 1.34216666666667 50.7791666666667 11.5 "Southampton water" 1.5 96 NA NA 3.55792750722704 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Scheiderich2015" 51.444 -40.5536666666667 30 "Argentine Basin" 0.41 331 NA NA 12.2674375509599 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Scheiderich2015" 51.444 -40.5536666666667 150 "Argentine Basin" 0.66 325 NA NA 12.0450670817582 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Scheiderich2015" 51.444 -40.5536666666667 700 "Argentine Basin" 0.56 338 NA NA 12.5268697650285 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Scheiderich2015" 51.444 -40.5536666666667 1500 "Argentine Basin" 0.52 302 NA NA 11.1926469498184 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Scheiderich2015" 51.444 -40.5536666666667 2289 "Argentine Basin" 0.49 316 NA NA 11.7115113779557 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Scheiderich2015" 57.5333333333333 -35 0 "Parana Estuary" 0.44 1102 NA NA 40.8420428433771 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 147.215833333333 54.9996666666667 10 "1" 1.076 NA 32.558 NA NA "KM1713" "1" "1-1-22" 24.824 11.39 9 162 3.12 0.02 0.26 0.03 8.6 0.9 2.83 0.03 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 147.214333333333 55.0003333333333 10 "1" 1.092 NA 32.558 NA NA "KM1713" "15" "1-15-2" 24.824 11.39 9 160 3.08 0.02 0.26 0.03 8.6 0.9 2.83 0.03 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 147.216666666667 54.9998333333333 10 "1" 1.103 NA 32.558 NA NA "KM1713" "27" "1-27-1" 24.824 11.39 9 160 3.07 0.03 0.26 0.03 8.6 0.9 2.83 0.03 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 147.215833333333 54.9996666666667 30 "1" 1.107 NA 32.76 NA NA "KM1713" "1" "1-1-18" 25.813 6.15 16.3 163 3.14 0.023 0.39 0.04 12.6 1.3 2.74 0.04 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 147.215833333333 54.9996666666667 50 "1" 1.084 NA 32.876 NA NA "KM1713" "1" "1-1-14" 26.13 4.41 21.2 165 3.17 0.028 0.29 0.03 9.1 0.9 2.88 0.03 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 147.215833333333 54.9996666666667 100 "1" 1.038 NA 33.624 NA NA "KM1713" "1" "1-1-10" 26.773 4.42 36 168 3.24 0.04 0.27 0.03 8.2 0.8 2.97 0.03 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 147.215833333333 54.9996666666667 150 "1" 1.037 NA 33.828 NA NA "KM1713" "1" "1-1-6" 27.006 3.99 41.2 177 3.4 0.036 0.29 0.03 8.5 0.9 3.11 0.03 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 147.215833333333 54.9996666666667 200 "1" 1.048 NA 33.89 NA NA "KM1713" "1" "1-1-2" 27.068 3.93 42.6 180 3.46 0.029 0.51 0.05 14.6 1.5 2.95 0.05 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 145.000166666667 49.9943333333333 10 "2" 1.067 NA 32.351 NA NA "KM1713" "5" "2-5-22" 24.318 13.18 6.9 157 3.01 0.025 0.26 0.04 8.5 1.4 2.78 0.04 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 145.008833333333 49.9781666666667 10 "2" 1.101 NA 32.351 NA NA "KM1713" "17" "2-17-2" 24.318 13.18 6.9 157 3.02 0.02 0.26 0.04 8.5 1.4 2.78 0.04 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 145.004166666667 49.9543333333333 10 "2" 1.086 NA 32.351 NA NA "KM1713" "31" "2-31-2" 24.318 13.18 6.9 159 3.07 0.019 0.26 0.04 8.5 1.4 2.78 0.04 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 145.000166666667 49.9943333333333 30 "2" 1.115 NA 32.381 NA NA "KM1713" "5" "2-5-18" 24.585 11.37 8 159 3.07 0.029 0.23 0.02 7.5 0.8 2.84 0.02 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 145.000166666667 49.9943333333333 50 "2" 1.094 NA 32.612 NA NA "KM1713" "5" "2-5-14" 25.692 5.92 14.7 160 3.07 0.023 0.22 0.03 7.3 1.1 2.86 0.03 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 145.012833333333 49.9453333333333 50 "2" 1.087 NA 32.612 NA NA "KM1713" "27" "2-27-1" 25.692 5.92 14.7 161 3.1 0.026 0.22 0.03 7.3 1.1 2.86 0.03 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 145.000166666667 49.9943333333333 75 "2" 1.096 NA 32.612 NA NA "KM1713" "5" "2-5-12" 25.871 4.77 16.9 162 3.11 0.025 0.23 0.02 7.3 0.7 2.88 0.02 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 145.000166666667 49.9943333333333 100 "2" 1.087 NA 32.667 NA NA "KM1713" "5" "2-5-10" 25.963 4.37 19.2 162 3.11 0.035 0.19 0.02 6.2 0.6 2.92 0.02 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Janssen2020" 145.000166666667 49.9943333333333 200 "2" 1.076 NA 33.828 NA NA "KM1713" "5" "2-5-2" 26.81 5.53 29.5 165 3.17 0.027 0.2 0.02 6.1 0.6 2.98 0.02 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
